BWV,Date,Title,Instruments,JEG CD,Wikipedia,IMSLP,Bach Digital
147.1,1716-12-20,Cantata Herz und Mund und Tat und Leben (Advent IV),satbSATB Tr Ob Str Bc,53.0,https://en.wikipedia.org/wiki/BWV_147.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000181?lang=en
148,1723-09-19,Cantata Bringet dem Herrn Ehre seines Namens (Trinity XVII),atSATB Tr 2Oba Odc Str Bc,44.0,https://en.wikipedia.org/wiki/BWV_148,"https://imslp.org/wiki/Bringet_dem_Herrn_Ehre_seines_Namens,_BWV_148_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000182?lang=en
149,1729-09-29,Cantata Man singet mit Freuden vom Sieg (Michaelmas),satbSATB 3Tr Tmp 3Ob Bas Str Vne Bc,42.0,https://en.wikipedia.org/wiki/BWV_149,"https://imslp.org/wiki/Man_singet_mit_Freuden_vom_Sieg,_BWV_149_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000183?lang=en
150,1707-07-10,"Cantata Nach dir, Herr, verlanget mich (Trinity III)",satbSATB Bas 2Vl Bc,15.0,https://en.wikipedia.org/wiki/BWV_150,"https://imslp.org/wiki/Nach_dir,_Herr,_verlanget_mich,_BWV_150_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000184?lang=en
150,1707-07-10,"Cantata Nach dir, Herr, verlanget mich (Trinity III)",satbSATB Bas 2Vl Bc,21.0,https://en.wikipedia.org/wiki/BWV_150,"https://imslp.org/wiki/Nach_dir,_Herr,_verlanget_mich,_BWV_150_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000184?lang=en
151,1725-12-27,"Cantata Süßer Trost, mein Jesus kömmt (Christmas 3)",satbSATB Fl Vl Oba Str Bc,55.0,https://en.wikipedia.org/wiki/BWV_151,"https://imslp.org/wiki/Nach_dir,_Herr,_verlanget_mich,_BWV_150_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000185?lang=en
152,1714-12-30,Cantata Tritt auf die Glaubensbahn (Christmas I),sb Fl Ob Va Vdg Bc,56.0,https://en.wikipedia.org/wiki/BWV_152,"https://imslp.org/wiki/Tritt_auf_die_Glaubensbahn,_BWV_152_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000186?lang=en
153,1724-01-02,"Cantata Schau, lieber Gott, wie meine Feind (Christmas II)",atbSATB Str Bc,3.0,https://en.wikipedia.org/wiki/BWV_153,"https://imslp.org/wiki/Schau,_lieber_Gott,_wie_meine_Feind,_BWV_153_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000187?lang=en
154,1724-01-09,Cantata Mein liebster Jesus ist verloren (Epiphany I),atbSATB 2Oba Str Hc Bc,4.0,https://en.wikipedia.org/wiki/BWV_154,"https://imslp.org/wiki/Mein_liebster_Jesus_ist_verloren,_BWV_154_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000188?lang=en
155,1716-01-19,"Cantata Mein Gott, wie lang, ach lange? (Epiphany II)",satbSATB Bas Str Bc,5.0,https://en.wikipedia.org/wiki/BWV_155,"https://imslp.org/wiki/Mein_Gott,_wie_lang,_ach_lange,_BWV_155_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000189?lang=en
155,1724-01-16,"Cantata Mein Gott, wie lang, ach lange? (Epiphany II)",satbSATB Bas Str Bc,5.0,https://en.wikipedia.org/wiki/BWV_155,"https://imslp.org/wiki/Mein_Gott,_wie_lang,_ach_lange,_BWV_155_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000189?lang=en
156,1729-01-23,Cantata Ich steh mit einem Fuß im Grabe (Epiphany III),satbSATB Ob Str Bc,6.0,https://en.wikipedia.org/wiki/BWV_156,"https://imslp.org/wiki/Ich_steh_mit_einem_Fu%C3%9F_im_Grabe,_BWV_156_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000190?lang=en
157.2,1727-02-06,"Cantata Ich lasse dich nicht, du segnest mich denn (funeral; later: Purification)",tbSATB Fl Ob Oba Va Str Bc,,https://en.wikipedia.org/wiki/BWV_157,"https://imslp.org/wiki/Ich_lasse_dich_nicht,_du_segnest_mich_denn!,_BWV_157_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000191?lang=en
159,1729-02-27,"Cantata Sehet, wir gehn hinauf gen Jerusalem (Estomihi)",satbSATB Ob Str Bc,11.0,https://en.wikipedia.org/wiki/BWV_159,"https://imslp.org/wiki/Sehet,_wir_geh%27n_hinauf_gen_Jerusalem,_BWV_159_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000193?lang=en
161,1716-09-27,"Cantata Komm, du süße Todesstunde (Trinity XVI; 1st version)",atSATB 2Fl Str Org Bc,43.0,https://en.wikipedia.org/wiki/BWV_161,"https://imslp.org/wiki/Komm,_du_s%C3%BCsse_Todesstunde,_BWV_161_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000195?lang=en
162.1,1716-10-25,"Cantata Ach! ich sehe, itzt, da ich zur Hochzeit gehe (Trinity XX)",satbSATB Str Bc,48.0,https://en.wikipedia.org/wiki/BWV_162,"https://imslp.org/wiki/Ach!_ich_sehe,_itzt,_da_ich_zur_Hochzeit_gehe,_BWV_162_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000197?lang=en
162.2,1723-10-10,"Cantata Ach! ich sehe, itzt, da ich zur Hochzeit gehe (Trinity XX)",satbSATB Hn Str Bc,48.0,https://en.wikipedia.org/wiki/BWV_162,"https://imslp.org/wiki/Ach!_ich_sehe,_itzt,_da_ich_zur_Hochzeit_gehe,_BWV_162_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00011367?lang=en
163,1715-11-24,Cantata Nur jedem das Seine (Trinity XXIII),satbSATB Str 2Vc Bc,51.0,https://en.wikipedia.org/wiki/BWV_163,"https://imslp.org/wiki/Nur_jedem_das_Seine,_BWV_163_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000198?lang=en
164,1725-08-26,"Cantata Ihr, die ihr euch von Christo nennet (Trinity XIII)",satbSATB 2Fl 2Ob Str Bc,39.0,https://en.wikipedia.org/wiki/BWV_164,"https://imslp.org/wiki/Ihr,_die_ihr_euch_von_Christo_nennet,_BWV_164_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000199?lang=en
165,1715-06-16,Cantata O heilges Geist- und Wasserbad (Trinity),satbSATB Fag Str Bc,25.0,https://en.wikipedia.org/wiki/BWV_165,"https://imslp.org/wiki/O_heilges_Geist-_und_Wasserbad,_BWV_165_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000200?lang=en
165,1724-06-04,Cantata O heilges Geist- und Wasserbad (Trinity),satbSATB Fag Str Bc,25.0,https://en.wikipedia.org/wiki/BWV_165,"https://imslp.org/wiki/O_heilges_Geist-_und_Wasserbad,_BWV_165_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000200?lang=en
166,1724-05-07,Cantata Wo gehest du hin? (Cantate),satbSATB Ob Str Bc,18.0,https://en.wikipedia.org/wiki/BWV_166,"https://imslp.org/wiki/Wo_gehest_du_hin%3F,_BWV_166_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000201?lang=en
167,1723-06-24,"Cantata Ihr Menschen, rühmet Gottes Liebe (24 June: feast of John the Baptist)",satbSATB Tr Ob Odc Str Bc,26.0,https://en.wikipedia.org/wiki/BWV_167,"https://imslp.org/wiki/Ihr_Menschen,_r%C3%BChmet_Gottes_Liebe,_BWV_167_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000202?lang=en
168,1725-07-29,Cantata Tue Rechnung! Donnerwort (Trinity IX),satbSATB 2Oba Str Bc,35.0,https://en.wikipedia.org/wiki/BWV_168,"https://imslp.org/wiki/Tue_Rechnung!_Donnerwort,_BWV_168_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000203?lang=en
169,1726-10-20,Cantata Gott soll allein mein Herze haben (Trinity XVIII),aSATB 2Oba Tai Str Org Bc,45.0,https://en.wikipedia.org/wiki/BWV_169,"https://imslp.org/wiki/Gott_soll_allein_mein_Herze_haben,_BWV_169_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000204?lang=en
170,1726-07-28,"Cantata Vergnügte Ruh, beliebte Seelenlust (Trinity VI)",a Oba Fl Str Org Bc,32.0,https://en.wikipedia.org/wiki/BWV_170,"https://imslp.org/wiki/Vergn%C3%BCgte_Ruh,_beliebte_Seelenlust,_BWV_170_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000205?lang=en
171,1729-01-01,"Cantata Gott, wie dein Name, so ist auch dein Ruhm (New Year)",satbSATB 3Tr Tmp 2Ob Str Bc,2.0,https://en.wikipedia.org/wiki/BWV_171,"https://imslp.org/wiki/Gott,_wie_dein_Name,_so_ist_auch_dein_Ruhm,_BWV_171_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000206?lang=en
172.1,1714-05-20,"Cantata Erschallet, ihr Lieder, erklinget, ihr Saiten! (Pentecost; 1st version = Weimar version; incomplete)",(SATB) 3Tr Tmp (Fl? Ob 2)Vl 2Va Vc Bas (Bc),22.0,https://en.wikipedia.org/wiki/BWV_172,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000207?lang=en
172.2,1724-05-28,"Cantata Erschallet, ihr Lieder, erklinget, ihr Saiten! (Pentecost; 2nd version = 1st Leipzig version)",satbSATB 3Tr Tmp Fl Ob Oba Bas 2Vl 2Va Vc Bc,22.0,https://en.wikipedia.org/wiki/BWV_172,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000208?lang=en
172.3,1731-05-13,"Cantata Erschallet, ihr Lieder, erklinget, ihr Saiten! (Pentecost; 3rd version = 2nd Leipzig version)",satbSATB 3Tr Tmp Ob Bas 2Vl 2Va Vc Org Bc,22.0,https://en.wikipedia.org/wiki/BWV_172,"https://imslp.org/wiki/Erschallet,_ihr_Lieder,_BWV_172_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000209?lang=en
173.2,1727-06-02,Cantata Erhöhtes Fleisch und Blut (Pentecost 2),satbSATB 2Fl Str Bc,23.0,https://en.wikipedia.org/wiki/BWV_173,"https://imslp.org/wiki/Erh%C3%B6htes_Fleisch_und_Blut,_BWV_173_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000210?lang=en
173.2,1731-05-14,Cantata Erhöhtes Fleisch und Blut (Pentecost 2),satbSATB 2Fl Str Bc,23.0,https://en.wikipedia.org/wiki/BWV_173,"https://imslp.org/wiki/Erh%C3%B6htes_Fleisch_und_Blut,_BWV_173_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000210?lang=en
173.1,1722-12-10,Secular cantata Durchlauchtster Leopold (birthday of Leopold of Anhalt-Köthen),satbSATB 2Fl Str Bc,23.0,https://en.wikipedia.org/wiki/BWV_173.1,"https://imslp.org/wiki/Durchlauchtster_Leopold,_BWV_173a_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000211?lang=en
174,1729-06-06,Cantata Ich liebe den Höchsten von ganzem Gemüte (Pentecost 2),atbSATB 2Cdc 2Ob Tai 3Vl 3Va 3Vc Str Bc,23.0,https://en.wikipedia.org/wiki/BWV_174,"https://imslp.org/wiki/Ich_liebe_den_H%C3%B6chsten_von_ganzem_Gem%C3%BCte,_BWV_174_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000212?lang=en
175,1725-05-22,Cantata Er rufet seinen Schafen mit Namen (Pentecost 3),atbSATB 2Tr 3Fl Str Vc Bc,24.0,https://en.wikipedia.org/wiki/BWV_175,"https://imslp.org/wiki/Er_rufet_seinen_Schafen_mit_Namen,_BWV_175_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000213?lang=en
176,1725-05-27,Cantata Es ist ein trotzig und verzagt Ding (Trinity),sabSATB 2Ob Odc Str Bc,25.0,https://en.wikipedia.org/wiki/BWV_176,"https://imslp.org/wiki/Es_ist_ein_trotzig_und_verzagt_Ding,_BWV_176_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000214?lang=en
177,1732-07-06,"Cantata Ich ruf zu dir, Herr Jesu Christ (Trinity IV)",satSATB 2Ob Odc Bas Vl Str Bc,30.0,https://en.wikipedia.org/wiki/BWV_177,"https://imslp.org/wiki/Ich_ruf_zu_dir,_Herr_Jesu_Christ,_BWV_177_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000215?lang=en
178,1724-07-30,Cantata Wo Gott der Herr nicht bei uns hält (Trinity VIII),atbSATB Hn 2Ob 2Oba Str Bc,34.0,https://en.wikipedia.org/wiki/BWV_178,"https://imslp.org/wiki/Wo_Gott_der_Herr_nicht_bei_uns_h%C3%A4lt,_BWV_178_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000216?lang=en
179,1723-08-08,"Cantata Siehe zu, daß deine Gottesfurcht nicht Heuchelei sei (Trinity XI)",stbSATB 2Ob 2Odc Str Bc,37.0,https://en.wikipedia.org/wiki/BWV_179,"https://imslp.org/wiki/Siehe_zu,_dass_deine_Gottesfurcht,_BWV_179_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000217?lang=en
180,1724-10-22,"Cantata Schmücke dich, o liebe Seele (Trinity XX)",satbSATB 2Fl Fl Ob Odc Str Vc Bc,48.0,https://en.wikipedia.org/wiki/BWV_180,"https://imslp.org/wiki/Schm%C3%BCcke_dich,_o_liebe_Seele,_BWV_180_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000218?lang=en
181,1724-02-13,Cantata Leichtgesinnte Flattergeister (Sexagesima),satbSATB Tr Fl Ob Str Bc,10.0,https://en.wikipedia.org/wiki/BWV_181,"https://imslp.org/wiki/Leichtgesinnte_Flattergeister,_BWV_181_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000219?lang=en
182,1714-03-25,"Cantata Himmelskönig, sei willkommen (Palm Sunday)",atbSATB Fl (Ob 2)Vl 2Va Bc,12.0,https://en.wikipedia.org/wiki/BWV_182,"https://imslp.org/wiki/Himmelsk%C3%B6nig,_sei_willkommen,_BWV_182_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000220?lang=en
182,1724-03-25,"Cantata Himmelskönig, sei willkommen (Palm Sunday)",atbSATB Fl (Ob 2)Vl 2Va Bc,12.0,https://en.wikipedia.org/wiki/BWV_182,"https://imslp.org/wiki/Himmelsk%C3%B6nig,_sei_willkommen,_BWV_182_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000220?lang=en
182,1728-03-21,"Cantata Himmelskönig, sei willkommen (Palm Sunday)",atbSATB Fl (Ob 2)Vl 2Va Bc,12.0,https://en.wikipedia.org/wiki/BWV_182,"https://imslp.org/wiki/Himmelsk%C3%B6nig,_sei_willkommen,_BWV_182_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000220?lang=en
183,1725-05-13,Cantata Sie werden euch in den Bann tun (Exaudi),satbSATB 2Oba 2Odc Str Vc Bc,21.0,https://en.wikipedia.org/wiki/BWV_183,"https://imslp.org/wiki/Sie_werden_euch_in_den_Bann_tun,_BWV_183_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000221?lang=en
184.2,1724-05-30,Cantata Erwünschtes Freudenlicht (Pentecost 3),satSATB 2Fl Str Bc,24.0,https://en.wikipedia.org/wiki/BWV_184,"https://imslp.org/wiki/Erw%C3%BCnschtes_Freudenlicht,_BWV_184_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000222?lang=en
184.2,1727-06-03,Cantata Erwünschtes Freudenlicht (Pentecost 3),satSATB 2Fl Str Bc,24.0,https://en.wikipedia.org/wiki/BWV_184,"https://imslp.org/wiki/Erw%C3%BCnschtes_Freudenlicht,_BWV_184_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000222?lang=en
184.2,1731-05-15,Cantata Erwünschtes Freudenlicht (Pentecost 3),satSATB 2Fl Str Bc,24.0,https://en.wikipedia.org/wiki/BWV_184,"https://imslp.org/wiki/Erw%C3%BCnschtes_Freudenlicht,_BWV_184_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000222?lang=en
184.1,1721-01-01,Secular cantata (incomplete),sb 2Fl Vl Str Bc (?),24.0,https://en.wikipedia.org/wiki/BWV_184.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000223?lang=en
185.1,1715-07-14,Cantata Barmherziges Herze der ewigen Liebe (Trinity IV),satbSATB Ob Str Bc,30.0,https://en.wikipedia.org/wiki/BWV_185,"https://imslp.org/wiki/Barmherziges_Herze_der_ewigen_Liebe,_BWV_185_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000224?lang=en
185.2,1723-06-20,Cantata Barmherziges Herze der ewigen Liebe (Trinity IV),satbSATB Tr Ob Str Bc,30.0,https://en.wikipedia.org/wiki/BWV_185,"https://imslp.org/wiki/Barmherziges_Herze_der_ewigen_Liebe,_BWV_185_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00011368?lang=en
186.2,1723-07-11,"Cantata Ärgre dich, o Seele, nicht (Trinity VII)",satbSATB 2Ob Tai Bas Str Bc,33.0,https://en.wikipedia.org/wiki/BWV_186,"https://imslp.org/wiki/%C3%84rgre_dich,_o_Seele,_nicht,_BWV_186_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000225?lang=en
186.1,1716-12-13,"Cantata Ärgre dich, o Seele, nicht (Advent III; incomplete)",stbSATB 2Ob Odc Tai Bas Str Bc,33.0,https://en.wikipedia.org/wiki/BWV_186a,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000226?lang=en
187,1726-08-04,Cantata Es wartet alles auf dich (Trinity VII),sabSATB 2Ob Str Bc,33.0,https://en.wikipedia.org/wiki/BWV_187,"https://imslp.org/wiki/Es_wartet_Alles_auf_dich,_BWV_187_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000227?lang=en
188,1728-10-17,Cantata Ich habe meine Zuversicht (Trinity XXI),satbSATB 2Ob Tai Str Org Bc,49.0,https://en.wikipedia.org/wiki/BWV_188,"https://imslp.org/wiki/Ich_habe_meine_Zuversicht,_BWV_188_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000228?lang=en
190.1,1724-01-01,Cantata Singet dem Herrn ein neues Lied (New Year; incomplete),atbSATB 3Tr Tmp 3Ob Oba Bas Str Bc,56.0,https://en.wikipedia.org/wiki/BWV_190,"https://imslp.org/wiki/Ich_habe_meine_Zuversicht,_BWV_188_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000230?lang=en
190.2,1730-06-25,Cantata Singet dem Herrn ein neues Lied (200th anniversary of the Augsb. Confess.; incomplete),atbSATB 3Tr Tmp 3Ob Str Bc (?),56.0,https://en.wikipedia.org/wiki/BWV_190.2,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000231?lang=en
193.2,1727-08-25,Cantata Ihr Tore zu Zion (council election; incomplete),saSA(TB) 2Ob Str (Bc),,https://en.wikipedia.org/wiki/BWV_193,"https://imslp.org/wiki/Ihr_Tore_zu_Zion,_BWV_193_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000234?lang=en
193.1,1727-08-03,"Secular cantata Ihr Häuser des Himmels, ihr scheinenden Lichter (name day of Friedrich August II; incomplete)",saSA(TB) 2Ob Str (Bc),,https://en.wikipedia.org/wiki/BWV_193.1,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000235?lang=en
194.3,1724-06-04,Cantata Höchsterwünschtes Freudenfest (Trinity; 1st Leipzig version),stbSATB 3Ob Bas Str Bc,25.0,https://en.wikipedia.org/wiki/BWV_194,"https://imslp.org/wiki/H%C3%B6chsterw%C3%BCnschtes_Freudenfest,_BWV_194_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000236?lang=en
194.3,1731-05-20,Cantata Höchsterwünschtes Freudenfest (Trinity; 1st Leipzig version),stbSATB 3Ob Bas Str Bc,25.0,https://en.wikipedia.org/wiki/BWV_194,"https://imslp.org/wiki/H%C3%B6chsterw%C3%BCnschtes_Freudenfest,_BWV_194_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000236?lang=en
194.4,1726-06-16,Cantata Höchsterwünschtes Freudenfest? (Trinity; 2nd Leipzig version),stbSATB 3Ob Bas Str Bc,25.0,https://en.wikipedia.org/wiki/BWV_194,"https://imslp.org/wiki/H%C3%B6chsterw%C3%BCnschtes_Freudenfest,_BWV_194_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000237?lang=en
194.2,1723-11-02,Cantata Höchsterwünschtes Freudenfest (Störmthal version: consecration of church and organ),sabSATB 3Ob Bas Str Bc,25.0,https://en.wikipedia.org/wiki/BWV_194,"https://imslp.org/wiki/H%C3%B6chsterw%C3%BCnschtes_Freudenfest,_BWV_194_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000238?lang=en
196,1708-06-05,Cantata Der Herr denket an uns (wedding),stbSATB Str Bc,,https://en.wikipedia.org/wiki/BWV_196,"https://imslp.org/wiki/Der_Herr_denket_an_uns,_BWV_196_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000243?lang=en
197.1,1728-12-25,Cantata Ehre sei Gott in der Höhe (Christmas; incomplete),abSATB 2Fl Oba Bas Str Vc Bc,,https://en.wikipedia.org/wiki/BWV_197.1,"https://imslp.org/wiki/Ehre_sei_Gott_in_der_H%C3%B6he,_BWV_197a_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000245?lang=en
198,1727-10-17,"Secular cantata Laß, Fürstin, laß noch einen Strahl a.k.a. Trauer-Ode (funeral ceremony for Christiane Eberhardine)",satbSATB 2Fl 2Ob 2Oba Str 2Vdg 2Lu Bc,,https://en.wikipedia.org/wiki/BWV_198,"https://imslp.org/wiki/Lass,_F%C3%BCrstin,_lass_noch_einen_Strahl,_BWV_198_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000246?lang=en
199.3,1723-08-08,Cantata Mein Herze schwimmt im Blut (Trinity XI; Leipzig version),s Ob Str Vc Bc,37.0,https://en.wikipedia.org/wiki/BWV_199,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000248?lang=en
199.1,1714-08-12,Cantata Mein Herze schwimmt im Blut (Trinity XI; Weimar version),s Ob Str Bc,37.0,https://en.wikipedia.org/wiki/BWV_199,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000249?lang=en
205.1,1725-08-03,"Secular cantata Zerreißet, zersprenget, zertrümmert die Gruft a.k.a. Der zufriedengestellte Aeolus (dramma per musica for August Friedrich Müller)",satbSATB 3Tr Tmp 2Hn 2Fl 2Ob Oba Str Va Vdg Bc,,https://en.wikipedia.org/wiki/BWV_205.1,"https://imslp.org/wiki/Zerrei%C3%9Fet,_zersprenget,_zertr%C3%BCmmert_die_Gruft,_BWV_205_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000255?lang=en
205.2,1734-02-19,"Secular cantata Blast Lärmen, ihr Feinde (dramma per musica; music lost but largely reconstructable; coronation of Augustus III)",satbSATB 3Tr Tmp 2Hn 2Fl 2Ob Oba Str Va Vdg Bc,,https://en.wikipedia.org/wiki/BWV_205.2,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000256?lang=en
206.1,1736-10-07,"Secular cantata Schleicht, spielende Wellen (dramma per musica; 1st version: birthday of Augustus III)",satbSATB 3Tr Tmp 3Fl 2Oba Str Bc,,https://en.wikipedia.org/wiki/BWV_206,"https://imslp.org/wiki/Schleicht,_spielende_Wellen,_BWV_206_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000257?lang=en
206.2,1740-08-03,"Secular cantata Schleicht, spielende Wellen (dramma per musica; 2nd version: name day of Augustus III)",satbSATB 3Tr Tmp 3Fl 2Ob 2Oba Str Bc,,https://en.wikipedia.org/wiki/BWV_206,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000258?lang=en
207.1,1726-12-11,Secular cantata Vereinigte Zwietracht der wechselnden Saiten (dramma per musica; appointment of professor Gottlieb Kortte),satbSATB 3Tr Tmp 2Fl 2Oba Tai Str Bc,,https://en.wikipedia.org/wiki/BWV_207.1,"https://imslp.org/wiki/Vereinigte_Zwietracht_der_wechselnden_Saiten,_BWV_207_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000259?lang=en
207.2,1735-08-03,"Secular cantata Auf, schmetternde Töne der muntern Trompeten (dramma per musica; name day of Augustus III)",satbSATB 3Tr Tmp 2Fl 2Oba Tai Str Bc,,https://en.wikipedia.org/wiki/BWV_207.2,"https://imslp.org/wiki/Auf,_schmetternde_T%C3%B6ne_der_muntern_Trompeten,_BWV_207a_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000260?lang=en
208.1,1713-02-23,"Secular cantata Was mir behagt, ist nur die muntre Jagd a.k.a. Hunting Cantata (1st version: birthday of Christian of Saxe-Weissenfels)",sstb 2Hn 2Fl 2Ob Tai Bas Str Vc Bc (Vne),,https://en.wikipedia.org/wiki/BWV_208.1,"https://imslp.org/wiki/Was_mir_behagt,_ist_nur_die_muntre_Jagd,_BWV_208_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00000261?lang=en
1040,1713-02-23,Trio (a.k.a. (Canonic) Trio Sonata; postlude to the Hunting Cantata?),Vl Ob Bc,,https://en.wikipedia.org/wiki/BWV_1040,"https://imslp.org/wiki/Trio_Sonata_in_F_major,_BWV_1040_(Bach,_Johann_Sebastian)",http://www.bachdigital.de/receive/BachDigitalWork_work_00001222?lang=en
208.3,1742-08-03,"Secular cantata Was mir behagt, ist nur die muntre Jagd (3rd version: name day of Augustus III)",sstb 2Hn 2Fl 2Ob Tai Bas Str Vc Bc (Vne)?,,https://en.wikipedia.org/wiki/BWV_208.3,,http://www.bachdigital.de/receive/BachDigitalWork_work_00000263?lang=en
